,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_early_stopping,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.7773909091949465,0.34865081619003974,0.024630069732666016,0.0009243169697388525,logistic,0.0001,True,"(500, 400, 300, 200, 100)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (500, 400, 300, 200, 100), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
1,2.6158254623413084,0.06493107262522632,0.024300098419189453,0.00037256657601928935,logistic,0.0001,True,"(500, 400, 300, 200, 100)",0.001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (500, 400, 300, 200, 100), 'learning_rate_init': 0.001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
2,2.723835515975952,0.10071801458224618,0.024125194549560545,0.00013368354029752688,logistic,0.0001,True,"(500, 400, 300, 200, 100)",0.01,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (500, 400, 300, 200, 100), 'learning_rate_init': 0.01, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
3,3.6797504901885985,0.008810646477962631,0.030243062973022462,0.0005928006986764258,logistic,0.0001,True,"(400, 400, 400, 400, 400)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (400, 400, 400, 400, 400), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
4,3.7936238288879394,0.12989988335885022,0.03500876426696777,0.0052607195195105766,logistic,0.0001,True,"(400, 400, 400, 400, 400)",0.001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (400, 400, 400, 400, 400), 'learning_rate_init': 0.001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
5,3.854243278503418,0.14443174168579456,0.03090801239013672,0.0006391460523103812,logistic,0.0001,True,"(400, 400, 400, 400, 400)",0.01,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (400, 400, 400, 400, 400), 'learning_rate_init': 0.01, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
6,2.358615779876709,0.01258982718013133,0.022376108169555663,0.00038519643496468154,logistic,0.0001,True,"(300, 300, 300, 300, 300)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (300, 300, 300, 300, 300), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
7,2.4108211040496825,0.08609470751484061,0.023559713363647462,0.002737985254337777,logistic,0.0001,True,"(300, 300, 300, 300, 300)",0.001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (300, 300, 300, 300, 300), 'learning_rate_init': 0.001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
8,2.492435836791992,0.08004157390273105,0.0235929012298584,0.0026037253029511996,logistic,0.0001,True,"(300, 300, 300, 300, 300)",0.01,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (300, 300, 300, 300, 300), 'learning_rate_init': 0.01, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
9,1.3009443759918213,0.004362266055031931,0.01516718864440918,6.290662349648544e-05,logistic,0.0001,True,"(200, 200, 200, 200, 200)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (200, 200, 200, 200, 200), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
10,1.3262614727020263,0.04261252554460056,0.01519927978515625,8.515710905615398e-05,logistic,0.0001,True,"(200, 200, 200, 200, 200)",0.001,300,"{'activation': 'logistic', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (200, 200, 200, 200, 200), 'learning_rate_init': 0.001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
