,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.13435640335083007,0.025369654570239618,0.008415412902832032,0.0008177574366979361,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.47854785478547857,0.4884488448844885,0.44370860927152317,0.5298013245033113,0.4602649006622517,0.4801543068214107,0.029189326000414666,124
1,0.46791915893554686,0.00688503531323195,0.026822996139526368,0.0022291949643657182,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.45544554455445546,0.5082508250825083,0.45695364238410596,0.5132450331125827,0.4503311258278146,0.4768452341922934,0.027813221978849226,133
2,0.840967845916748,0.008450967847816146,0.04540567398071289,0.005201240507304993,5,1,2,350,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350}",0.47194719471947194,0.5313531353135313,0.4602649006622517,0.4900662251655629,0.4503311258278146,0.48079251633772646,0.028530323861771078,122
3,1.7588292121887208,0.2791997398751566,0.08546113967895508,0.02365689928041222,5,1,2,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.47194719471947194,0.5082508250825083,0.4602649006622517,0.4966887417218543,0.46357615894039733,0.4801455642252967,0.018976731263791423,126
4,0.16547789573669433,0.03566127867180479,0.012070703506469726,0.0016900796057951605,5,1,6,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}",0.504950495049505,0.49504950495049505,0.4503311258278146,0.5,0.46688741721854304,0.48344370860927155,0.0211749903394926,89
5,0.6712882041931152,0.02983781962495631,0.0379575252532959,0.0015673528052315094,5,1,6,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.45874587458745875,0.528052805280528,0.48344370860927155,0.4966887417218543,0.48344370860927155,0.4900749677616768,0.02260759794235618,34
6,0.993695878982544,0.18121979780668976,0.049990081787109376,0.009365531084398812,5,1,6,350,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 350}",0.48184818481848185,0.528052805280528,0.47019867549668876,0.49337748344370863,0.4768211920529801,0.49005966821847746,0.020453024736660944,36
7,1.1872427463531494,0.025908256906656914,0.07233734130859375,0.011759434122388742,5,1,6,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",0.45874587458745875,0.528052805280528,0.45364238410596025,0.5,0.48013245033112584,0.48411470286101455,0.027462328753826093,86
8,0.11785554885864258,0.005813540191416096,0.008611679077148438,0.0004026405453279647,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.47854785478547857,0.5115511551155115,0.47019867549668876,0.49337748344370863,0.4602649006622517,0.4827880139007278,0.018017858798817194,103
9,0.46227326393127444,0.00797498840998863,0.03002018928527832,0.00407226925465503,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.44884488448844884,0.5115511551155115,0.45364238410596025,0.49337748344370863,0.47019867549668876,0.4755229165300636,0.023814458509909146,136
10,0.8318022727966309,0.018323899130425623,0.045081377029418945,0.0020270143724150794,5,1,10,350,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 350}",0.47854785478547857,0.5016501650165016,0.4470198675496689,0.4768211920529801,0.4735099337748344,0.4755098026358927,0.01737782451939876,138
11,1.2067100048065185,0.043902093980800354,0.06601767539978028,0.004885861455816333,5,1,10,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.46864686468646866,0.5148514851485149,0.4602649006622517,0.4900662251655629,0.4735099337748344,0.48146788188752654,0.019316678321530875,115
12,0.1229522705078125,0.007381660165486094,0.008846569061279296,0.0004503849864916399,5,5,2,50,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.46534653465346537,0.4884488448844885,0.47019867549668876,0.5298013245033113,0.5,0.49075907590759077,0.023167029757485358,27
13,0.46668548583984376,0.008699716806895094,0.026667070388793946,0.0012528407770607123,5,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.4389438943894389,0.5016501650165016,0.4602649006622517,0.5132450331125827,0.46688741721854304,0.4761982820798636,0.027381432968907753,134
14,0.859895133972168,0.04081362423885521,0.043643617630004884,0.001627274006025221,5,5,2,350,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 350}",0.44884488448844884,0.49174917491749176,0.46688741721854304,0.5099337748344371,0.45695364238410596,0.47487377876860537,0.022699774957531747,140
15,1.2142364978790283,0.022227910760033557,0.06752018928527832,0.0032834897420614306,5,5,2,500,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.45874587458745875,0.5115511551155115,0.44039735099337746,0.4966887417218543,0.46357615894039733,0.4741918562717199,0.026058269444016784,142
