Open,High,Low,Close,Volume,sentiment,Price_change
417.238007,423.925995,417.013,421.690002,73969696.0,-0.0688268656716418,Decreased
421.605011,421.795013,410.093994,411.623993,92712896.0,0.3983910220994475,Increased
411.64801,416.604004,411.641998,414.065002,74322800.0,0.311103536345776,Increased
414.200989,416.68399,414.200989,416.437988,95259400.0,0.210302823179792,Increased
416.388,418.131012,414.984985,416.829987,66781700.0,0.1636906103286385,Increased
416.888,417.686005,415.911987,417.010986,65185800.0,-0.3979285714285714,Increased
417.889008,420.997009,417.889008,420.621002,83528600.0,0.2874809523809523,Decreased
420.546997,420.546997,406.136993,409.548004,104940000.0,0.1848976076555024,Increased
409.265015,410.984009,407.230011,410.444,58423000.0,-0.1845734265734266,Increased
410.401001,414.625,410.401001,413.755005,45947900.0,0.4184259259259259,Decreased
413.417999,413.417999,410.381012,413.307007,61655400.0,0.4001342679127725,Increased
413.131989,418.375,412.531006,418.088989,66813300.0,0.3172610169491526,Decreased
418.161011,419.268005,417.364014,418.040985,61444200.0,0.5184091836734696,Decreased
418.424011,418.679993,415.485992,416.394012,68346704.0,0.2565809523809523,Increased
416.507996,418.079987,415.558014,417.177002,52560000.0,0.5274847457627119,Increased
417.36499,418.987,416.259003,417.945007,44650400.0,-0.0992070588235294,Increased
418.140015,428.796997,417.710999,426.765015,71229400.0,0.0685324324324324,Decreased
426.548004,426.856995,423.292999,424.230988,68522800.0,0.0018232727272727,Decreased
424.303986,426.203003,412.681,416.515991,75411504.0,0.0197074906367041,Decreased
416.834015,416.834015,412.496002,414.81601,66034100.0,0.279820197044335,Increased
415.256989,418.368988,415.256989,416.729004,60215200.0,0.4095,Increased
416.76001,418.173004,415.830994,417.959991,51235700.0,0.12422776203966,Increased
418.421997,422.080994,418.421997,420.872986,45681200.0,0.2989201331114808,Decreased
421.173004,421.579987,419.696991,420.903992,38053700.0,0.127163503649635,Increased
421.299011,422.342987,419.601013,421.444,50634300.0,-0.3841991578947367,Increased
421.016998,424.256989,420.614014,424.029999,60718000.0,-0.0129087794432548,Decreased
424.283997,424.527008,422.729004,423.412994,59091000.0,0.0842131868131868,Decreased
423.619995,423.657013,420.518005,422.744995,57858600.0,-0.0406140127388535,Decreased
422.907013,425.360992,419.63501,420.348999,63454700.0,0.5955777969018933,Decreased
420.811005,420.890991,416.515015,419.411011,49792700.0,-0.1013885057471263,Increased
419.59201,422.434998,419.256989,421.563995,73478600.0,0.1464601941747573,Increased
421.872009,422.739014,420.53299,422.483002,50747500.0,0.0993551724137931,Increased
422.842987,427.277008,422.842987,425.190002,70728800.0,0.1907132352941176,Decreased
425.631989,426.65799,422.915985,423.734009,69060400.0,0.0763324110671936,Increased
423.934998,425.371002,423.013,424.282013,45281000.0,-0.0817553719008264,Increased
424.427002,429.928009,424.427002,429.713013,54801500.0,-0.1237018987341772,Increased
429.575012,432.625,428.984009,430.571991,39392800.0,0.3214372340425532,Decreased
430.635986,431.371002,426.07901,427.398987,52125900.0,-0.0246009009009009,Increased
427.610992,429.273987,427.085999,428.591003,55670900.0,0.2792699029126213,Increased
428.703003,436.019989,428.104004,435.509003,52810500.0,0.206714563106796,Increased
435.324005,443.053986,434.406006,441.389008,72890096.0,0.0078966480446927,Increased
441.415985,450.548004,440.951996,449.424988,68204704.0,0.206531914893617,Decreased
449.687988,449.809998,444.149994,445.737,58804400.0,0.1818740079365079,Increased
445.860992,450.282013,444.330994,450.282013,50485400.0,0.0025004357298474,Increased
450.559998,460.145996,448.928009,458.554993,68198400.0,0.6156574803149607,Increased
459.121002,466.619995,453.59201,461.425995,87091800.0,0.0690210191082802,Increased
461.64801,467.964996,461.621002,466.088989,78971904.0,0.3286700647249191,Decreased
466.261993,467.07901,444.134003,444.687012,93564896.0,0.135885653104925,Increased
445.037994,449.550995,436.649994,449.010986,74064704.0,0.1291327272727272,Increased
449.40799,455.384003,446.016998,455.096985,49258500.0,0.1378021487603306,Decreased
455.178009,455.587006,447.696991,448.317993,69322600.0,0.1199520231213872,Increased
448.484009,452.479004,447.927002,451.875,40660100.0,-0.0060147239263803,Decreased
451.933014,452.445007,441.776001,444.669006,92127000.0,0.0869359236353858,Increased
444.72699,451.096985,442.617004,450.303986,59366400.0,0.235516030534351,Decreased
450.183014,450.377991,445.630005,446.721985,50407300.0,0.1630836206896551,Increased
446.710999,448.506012,445.882996,447.976013,50440800.0,-0.0994946502057613,Increased
447.941986,461.375,447.067993,459.602997,72796800.0,0.133240099009901,Decreased
459.639008,460.674988,457.324005,458.536011,38364500.0,-0.0211662337662337,Increased
458.428986,459.416992,455.983002,458.548004,40315000.0,0.1437394736842105,Increased
458.205994,462.480988,456.531006,460.483002,55493100.0,0.3969209068010076,Decreased
460.518005,461.928986,448.95401,450.894989,58956100.0,0.096113612565445,Increased
450.864014,454.575989,450.864014,452.727997,50605200.0,0.1627574468085106,Increased
452.446991,454.949005,449.25,454.765991,59849300.0,0.573086875,Increased
454.850006,457.054993,453.453003,455.670013,60845000.0,0.0625128571428571,Decreased
455.822998,456.835999,454.786011,455.67099,37209000.0,0.4865569444444446,Increased
