Date,Open,High,Low,Close,Volume,sentiment,Price_change
2016-01-01,0.933712,0.954822,0.931442,0.948024,206062.0,0.12641428571428567,Increased
2016-01-02,0.947401,0.969637,0.93656,0.937124,255504.0,0.03318181818181817,Decreased
2016-01-03,0.93843,0.991362,0.934313,0.971905,407632.0,0.46369347826086943,Increased
2016-01-04,0.972045,0.976438,0.929835,0.95448,346245.0,0.28936037735849063,Decreased
2016-01-05,0.953147,0.970597,0.946543,0.950176,219833.0,0.3263314381270903,Decreased
2016-01-06,0.950028,0.960659,0.935708,0.95086,308791.0,0.047546212121212114,Increased
2016-01-07,0.955801,0.974623,0.93583,0.942005,647462.0,0.05961968503937008,Decreased
2016-01-08,0.942752,0.991825,0.939715,0.986789,545600.0,0.3755679525222552,Increased
2016-01-09,0.985501,0.992345,0.9736,0.986833,226281.0,0.3335466666666667,Increased
2016-01-10,0.985557,1.00103,0.975099,0.999231,390888.0,0.05925128205128204,Increased
2016-01-11,0.999216,1.06991,0.999216,1.0616,1011920.0,0.45930296296296297,Increased
2016-01-12,1.0661,1.28283,1.05009,1.141,2898760.0,0.029796581196581184,Increased
2016-01-13,1.13547,1.15218,1.07703,1.1252,1005910.0,-0.1628171617161716,Decreased
2016-01-14,1.1221,1.18959,1.10319,1.18959,751961.0,0.256128346456693,Increased
2016-01-15,1.18444,1.31938,1.14293,1.20801,3910550.0,0.4026517318435754,Increased
2016-01-16,1.22046,1.30816,1.16801,1.22029,2462630.0,0.046084321223709396,Decreased
2016-01-17,1.22147,1.32883,1.20777,1.32747,1171150.0,-0.5998745098039215,Increased
2016-01-18,1.33231,1.5429,1.32222,1.42634,4278930.0,0.6765009803921569,Increased
2016-01-19,1.42261,1.46469,1.30501,1.37139,2446740.0,0.28537045454545457,Decreased
2016-01-20,1.36318,1.61924,1.35371,1.53182,2933220.0,0.012493928571428564,Increased
2016-01-21,1.5327,1.58549,1.48669,1.55357,1614960.0,0.07961621621621622,Increased
2016-01-22,1.54703,1.58146,1.46588,1.50127,1567240.0,0.1411181818181818,Decreased
2016-01-23,1.50412,2.03012,1.49605,1.97267,7370980.0,-0.006777733598409541,Increased
2016-01-24,1.90054,2.29842,1.90054,2.1412,9669770.0,0.04869999999999998,Increased
2016-01-25,2.14764,2.66258,2.05614,2.49927,10739300.0,0.016834871794871798,Increased
2016-01-26,2.53274,2.83699,1.99477,2.27637,13939200.0,0.2734113013698631,Decreased
2016-01-27,2.24744,2.59494,2.18865,2.38855,6961080.0,-0.04141894977168945,Increased
2016-01-28,2.40645,2.68467,2.34203,2.52649,4903850.0,0.1433136887608069,Increased
2016-01-29,2.54298,2.60677,2.3039,2.49496,6662340.0,0.2136881979695432,Decreased
2016-01-30,2.50772,2.61181,2.39892,2.44506,3725080.0,0.02262181818181818,Decreased
2016-01-31,2.44315,2.53097,2.18635,2.30604,5847500.0,0.5503609167671893,Decreased
2016-02-01,2.31969,2.31969,2.11631,2.21169,3994100.0,0.14797333333333337,Decreased
2016-02-02,2.21519,2.44898,2.1572,2.43964,3451270.0,0.27350603015075375,Increased
2016-02-03,2.43193,2.54017,2.34162,2.52869,3987750.0,0.5063752577319588,Increased
2016-02-04,2.52903,2.62954,2.43646,2.57804,3552320.0,0.13275364806866954,Increased
2016-02-05,2.57035,2.60618,2.47092,2.53899,2636700.0,-0.08922948717948719,Decreased
2016-02-06,2.53382,2.56115,2.47201,2.53446,1921240.0,-0.0443530612244898,Increased
2016-02-07,2.53641,3.05819,2.53638,2.96434,7007060.0,0.47696273062730626,Increased
2016-02-08,2.973,3.27428,2.87537,3.17979,9725690.0,0.1332,Increased
2016-02-09,3.17499,4.04464,3.16875,4.04464,17954000.0,0.0214204268292683,Increased
2016-02-10,4.00055,4.86144,3.7831,4.43626,28640400.0,0.5432052539404554,Increased
2016-02-11,4.49682,6.29223,4.3383,6.0131,26408200.0,0.05845500000000003,Increased
2016-02-12,5.94615,6.58275,5.07076,5.54698,23360800.0,0.16314111111111113,Decreased
2016-02-13,5.68505,5.71954,4.19,5.38532,24218800.0,0.18673761061946903,Decreased
